category,function,direction,dbc_bus,dbc_id_hex,dbc_name,dbc_signals,log_marker,observed_channel,observed_bitrate,observed_id_hex,observed_dlc,observed_signal_or_byte,off_value,on_value,confidence,status,implementation_type,implementation_note
body,sunroof_open_state,car_to_adapter,C-CAN,0x541,CGW1,C_SunRoofOpenState; CF_Gway_RrSunRoofOpenState,sunroof_open_close,ch1,500000,0x541,8,DATA[7] bit1 mask 0x02,00/03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 03,0.85,confirmed_rx,read_only,"Full frame: C-CAN ch1 500000 STD ID 0x541 DLC 8 DATA ...; DATA[0]=03 is ignition, not sunroof."
media,hu_source_status,adapter_to_car,M-CAN,0x114,HU_CLU_PE_01,HU_OpState; HU_Navi_On_Off; HU_Track_Number; HU_Frequency,source_state_matrix,,,,,,,,0.2,seen_in_log,usb_to_can,
media,hu_nav_status,adapter_to_car,M-CAN,0x197,HU_CLU_PE_05,HU_MuteStatus; HU_VolumeStatus; HU_NaviStatus; HU_Navigation_On_Off,source_state_matrix,,,,,,,,0.2,seen_in_log,usb_to_can,
media,usb_media_text,adapter_to_car,M-CAN,0x490,TP_HU_USB_CLU,Byte0_TCP_and_Data,source_usb_spam_visible,,,,,,,,0.2,seen_in_log,filter_only,main candidate for Music USB spam
media,generic_multimedia_text,adapter_to_car,M-CAN,0x4E6,TP_HU_MLT_CLU,Byte0_TCP_and_Data,source_media_text,,,,,,,,0.2,seen_in_log,usb_to_can,
climate,driver_seat_heater_candidate,car_to_adapter,C-CAN,0x4E5,unknown,raw candidate: DATA[1] and DATA[3],DRIVER_SEAT_HEAT_ONLY_10S_START,ch1,500000,0x4E5,8,"unique=6; changing bytes DATA[1], DATA[3]; top 80 5A 00 02 49 C4 00 00 / 80 5E 00 02 49 C4 00 00 / 80 6E 00 03 49 C4 00 00",80 5A 00 02 49 C4 00 00,80 5E/6E/72 00 02/03 49 C4 00 00,0.55,seen_in_log,read_only,"10s isolated driver seat heater test; candidate only, level mapping 1/2/3/off not confirmed."
climate,driver_seat_heater_secondary_candidate,car_to_adapter,C-CAN,0x5CF,unknown,raw candidate: DATA[1] and DATA[4],DRIVER_SEAT_HEAT_ONLY_10S_START,ch1,500000,0x5CF,8,"unique=35; changing bytes DATA[0], DATA[1], DATA[4]; examples 3E 23 00 00 10 7F 80 00 / 41 21 00 00 11 7F 80 00",,,0.35,seen_in_log,read_only,"Secondary/noisy candidate; may include cabin climate/seat state, use with 0x4E5 until isolated level mapping is captured."
parking,pas_display,car_to_adapter,C-CAN,0x436,PAS11,CF_Gway_PASDisplayFLH; CF_Gway_PASDisplayFRH; CF_Gway_PASDisplayFCTR; CF_Gway_PASDisplayRCTR; CF_Gway_PASDisplayRLH; CF_Gway_PASDisplayRRH; PASRsound; PASFsound,parking_sensor_near_far,,,,,,,,0.1,seen_constant_zero_in_log,mirror_to_hu,captured in reverse/parking segments but stayed 00 00 00 00; obstacle distances not captured
parking,spas_status,car_to_adapter,C-CAN,0x390,SPAS11,CF_Spas_Stat; CR_Spas_StrAngCmd; CF_Spas_BeepAlarm; CF_Spas_PasVol,spas_reverse_steering,,,,,,,,0.3,seen_in_log,mirror_to_hu,"0x390 changes continuously; mixed steering/SPAS status, needs isolated R+obstacle mapping"
parking,spas_display_zones,car_to_adapter,C-CAN,0x4F4,SPAS12,CF_Spas_FIL_Ind; CF_Spas_FIR_Ind; CF_Spas_RIL_Ind; CF_Spas_RIR_Ind; CF_Spas_BEEP_Alarm,parking_sensor_zones,,,,,,,,0.45,best_current_candidate,mirror_to_hu,"0x4F4 toggles with front sensor button and reverse; values include 00 00 C0 ... 00/01, 00 01 C0 ... 30 01, 24/25/26/27 02/03 C0 ..."
safety,rcta_left_right,car_to_adapter,C-CAN,0x58B,LCA11,CF_Rcta_Stat; CF_RCTA_IndLeft; CF_RCTA_IndRight; CF_RCTA_IndBriLeft; CF_RCTA_IndBriRight,rcta_left_right,,,,,,,,0.1,baseline_only,mirror_to_hu,0x58B stayed 11 00 04 00 00 00 00 20 in parking segments; no left/right RCTA event captured
safety,blind_spot_lca,car_to_adapter,C-CAN,0x58B,LCA11,CF_Lca_Stat; CF_Lca_IndLeft; CF_Lca_IndRight; CF_Lca_IndBriLeft; CF_Lca_IndBriRight,lca_left_right,,,,,,,,0.2,seen_in_log,mirror_to_hu,
